Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Depression response (early phase),2 hours post-infusion,1,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,1,10,0,0,0,11,0,0,10.948405,3.272727,0.14828,72.233205,
1,1,Depression response (early phase),2 hours post-infusion,1,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,1,92,0,0,1,46,0,0,13.870179,0.5,0.031992,7.814425,
1,1,Depression response (early phase),2 hours post-infusion,1,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,5,54,0,0,5,54,0,0,75.181416,1,0.307031,3.257004,
1,1,Depression response (early phase),4 hours post-infusion,2,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,2,10,0,0,1,11,0,0,7.242224,2.2,0.233623,20.717115,
1,1,Depression response (early phase),4 hours post-infusion,2,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,10,92,0,0,3,46,0,0,23.658963,1.666667,0.481964,5.76346,
1,1,Depression response (early phase),4 hours post-infusion,2,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,11,54,0,0,12,54,0,0,69.098813,0.916667,0.443523,1.894554,
1,1,Depression response (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,3,10,0,0,1,11,0,0,4.667812,3.3,0.406175,26.81108,
1,1,Depression response (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,20,92,0,0,8,46,0,0,37.45047,1.25,0.596638,2.61884,
1,1,Depression response (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,15,54,0,0,16,54,0,0,57.881718,0.9375,0.517139,1.699555,
1,1,Depression response (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,4,10,0,0,2,11,0,0,6.954159,2.2,0.508111,9.525469,
1,1,Depression response (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,23,92,0,0,13,46,0,0,44.286251,0.884615,0.494931,1.581117,
1,1,Depression response (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,15,54,0,0,19,54,0,0,47.26416,0.789474,0.44999,1.385073,
1,1,Depression response (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,0,30,0,0,1,28,0,0,1.49543,0.311828,0.013226,7.35219,
1,1,Depression response (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,7,10,0,0,3,11,0,0,11.092246,2.566667,0.901007,7.311576,
1,1,Depression response (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,40,92,0,0,16,46,0,0,36.978892,1.25,0.789738,1.978505,
1,1,Depression response (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,26,54,0,0,24,54,0,0,41.999072,1.083333,0.721217,1.627264,
1,1,Depression response (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,4,30,0,0,7,28,0,0,9.92979,0.533333,0.174835,1.626929,
1,1,Depression response (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,8,10,0,0,4,11,0,0,11.302112,2.2,0.948872,5.100792,
1,1,Depression response (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,51,92,0,0,18,46,0,0,40.303625,1.416667,0.94553,2.122561,
1,1,Depression response (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,30,54,0,0,27,54,0,0,48.394263,1.111111,0.776873,1.58915,
1,1,Depression response (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,8,10,0,0,4,11,0,0,8.081384,2.2,0.948872,5.100792,
1,1,Depression response (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,57,92,0,0,28,46,0,0,43.533319,1.017857,0.768015,1.348975,
1,1,Depression response (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,34,54,0,0,26,54,0,0,34.186141,1.307692,0.926899,1.844925,
1,1,Depression response (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0.338061702,0,0,12,30,0,0,12,28,0,0.114285714,14.199156,0.933333,0.505926,1.721815,
1,1,Depression response (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,7,10,0,0,4,11,0,0,4.800026,1.925,0.797834,4.644608,
1,1,Depression response (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,63,92,0,0,24,46,0,0,38.881572,1.3125,0.96316,1.788546,
1,1,Depression response (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,38,54,0,0,31,54,0,0,45.009249,1.225806,0.9194,1.634329,
1,1,Depression response (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,14,30,0,0,12,28,0,0,11.309153,1.088889,0.613447,1.932813,
1,1,Depression response (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,8,10,0,0,3,11,0,0,3.632043,2.933333,1.064581,8.082467,
1,1,Depression response (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,62,92,0,0,24,46,0,0,34.698871,1.291667,0.946371,1.762949,
1,1,Depression response (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,38,54,0,0,33,54,0,0,43.261309,1.151515,0.8753,1.514895,
1,1,Depression response (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,19,30,0,0,15,28,0,0,18.407777,1.182222,0.761883,1.834467,
1,1,Depression response (early phase),7 days post-infusion,10,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0,0,0,8,10,0,0,2,11,0,0,8.366515,4.4,1.209577,16.005591,
1,1,Depression response (early phase),7 days post-infusion,10,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,48,92,0,0,21,46,0,0,44.176464,1.142857,0.788567,1.656323,
1,1,Depression response (early phase),7 days post-infusion,10,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,34,54,0,0,27,54,0,0,47.457021,1.259259,0.899778,1.762362,
1,1,Depression response (early phase),30 days post-infusion,11,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.534117389,0,0,7,10,0,0,3,11,0,0.285281385,15.903437,2.566667,0.901007,7.311576,
1,1,Depression response (early phase),30 days post-infusion,11,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0.166501078,0,0,61,92,0,0,22,46,0,0.027722609,40.127171,1.386364,0.991576,1.938333,
1,1,Depression response (early phase),30 days post-infusion,11,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0.120624477,0,0,36,54,0,0,42,54,0,0.014550265,43.969391,0.857143,0.676671,1.085748,
1,2,Depression remission (early phase),2 hours post-infusion,1,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,1.578741348,0,0,0,10,0,0,0,11,0,2.492424242,,,,,
1,2,Depression remission (early phase),2 hours post-infusion,1,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,1,54,0,0,1,54,0,0,100,1,0.064183,15.580542,
1,2,Depression remission (early phase),4 hours post-infusion,2,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,1.578741348,0,0,1,10,0,0,0,11,0,2.492424242,24.885435,3.272727,0.14828,72.233205,
1,2,Depression remission (early phase),4 hours post-infusion,2,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,2,54,0,0,4,54,0,0,75.114565,0.5,0.095552,2.616376,
1,2,Depression remission (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,1.144155107,0,0,2,10,0,0,0,11,0,1.309090909,25.937599,5.454545,0.29299,101.546242,
1,2,Depression remission (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,1.509544105,0,0,0,92,0,0,2,46,0,2.278723404,24.987188,0.101075,0.004952,2.062965,
1,2,Depression remission (early phase),8 hours post-infusion,3,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,6,54,0,0,3,54,0,0,49.075213,2,0.527061,7.589257,
1,2,Depression remission (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.801513719,0,0,3,10,0,0,0,11,0,0.642424242,14.945467,7.636364,0.442602,131.752673,
1,2,Depression remission (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,2,92,0,0,2,46,0,0,28.680295,0.5,0.072738,3.43699,
1,2,Depression remission (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,7,54,0,0,4,54,0,0,56.374238,1.75,0.543614,5.633592,
1,2,Depression remission (early phase),12 hours post-infusion,4,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,0,30,0,0,0,28,0,0,,,,,
1,2,Depression remission (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.555959449,0,0,6,10,0,0,1,11,0,0.309090909,8.444195,6.6,0.952189,45.747207,
1,2,Depression remission (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,13,92,0,0,3,46,0,0,21.346052,2.166667,0.649685,7.225724,
1,2,Depression remission (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,15,54,0,0,12,54,0,0,65.913027,1.25,0.646877,2.415453,
1,2,Depression remission (early phase),24 hours post-infusion,5,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,1,30,0,0,1,28,0,0,4.296725,0.933333,0.061266,14.218556,
1,2,Depression remission (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.509009734,0,0,5,10,0,0,1,11,0,0.259090909,6.044247,5.5,0.767893,39.393501,
1,2,Depression remission (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,18,92,0,0,6,46,0,0,32.166455,1.5,0.638908,3.521631,
1,2,Depression remission (early phase),36 hours post-infusion,6,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,17,54,0,0,13,54,0,0,61.789298,1.307692,0.706439,2.420676,
1,2,Depression remission (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.449386306,0,0,7,10,0,0,2,11,0,0.201948052,9.582083,3.85,1.030915,14.378007,
1,2,Depression remission (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,19,92,0,0,7,46,0,0,26.58769,1.357143,0.61531,2.993346,
1,2,Depression remission (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,22,54,0,0,13,54,0,0,50.744949,1.692308,0.95459,3.000142,
1,2,Depression remission (early phase),48 hours post-infusion,7,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,5,30,0,0,5,28,0,0,13.085277,0.933333,0.302241,2.882172,
1,2,Depression remission (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.449386306,0,0,7,10,0,0,1,11,0,0.201948052,6.437063,7.7,1.137606,52.118218,
1,2,Depression remission (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,31,92,0,0,7,46,0,0,27.478584,2.214286,1.056586,4.640476,
1,2,Depression remission (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0.212652363,0,0,30,54,0,0,20,54,0,0.045221027,44.938598,1.5,0.983879,2.286866,
1,2,Depression remission (early phase),60 hours post-infusion,8,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,7,30,0,0,7,28,0,0,21.145756,0.933333,0.374821,2.324072,
1,2,Depression remission (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.534117389,0,0,7,10,0,0,2,11,0,0.285281385,6.041684,3.85,1.030915,14.378007,
1,2,Depression remission (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0.354576702,0,0,31,92,0,0,8,46,0,0.125724638,21.905664,1.9375,0.969882,3.870477,
1,2,Depression remission (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 2,2018,0,0,0,0,29,54,0,0,18,54,0,0,51.51814,1.611111,1.026034,2.529817,
1,2,Depression remission (early phase),72 hours post-infusion,9,SUBGROUP_AND_OVERALL,NCT03228394,2017,0,0,0,0,11,30,0,0,9,28,0,0,20.534513,1.140741,0.558204,2.331208,
1,2,Depression remission (early phase),7 days post-infusion,10,SUBGROUP_AND_OVERALL,Kanes 2017,2017,0,0.672270817,0,0,7,10,0,0,0,11,0,0.451948052,8.959916,16.363636,1.053111,254.264415,
1,2,Depression remission (early phase),7 days post-infusion,10,SUBGROUP_AND_OVERALL,Meltzer-Brody 2018 Study 1,2018,0,0,0,0,20,92,0,0,13,46,0,0,43.708141,0.769231,0.421354,1.40432,
